age,educ,rural,black,asian,mixed,nativeamer,disability,employed_ft,employed_pt,unemployed,overtime,student,married,female,occupation,logdailywage,dailywage
43,123,0,0,0,0,0,0,1,0,0,1,0,0,0,1,14.44732,188.1009
55,111,0,0,0,0,0,0,1,0,0,0,0,1,0,1,14.26748,157.1408
43,123,0,0,0,0,0,0,1,0,0,0,0,1,0,1,13.83874,102.3506
30,73,0,0,0,0,0,0,1,0,0,0,0,0,0,4,11.66474,11.63942
33,40,0,0,0,0,0,0,0,0,1,0,0,1,0,2,,
45,91,0,0,0,0,0,0,0,0,1,1,0,0,0,4,,
48,81,0,0,0,0,0,0,1,0,0,0,0,1,0,1,14.10753,133.9127
51,91,0,0,0,0,0,0,1,0,0,0,0,1,0,4,13.89569,108.3484
26,111,0,0,0,0,0,0,0,1,0,0,0,0,0,1,11.35523,8.541069
37,91,0,0,0,0,0,0,1,0,0,1,0,1,0,2,13.2334,55.87192
21,50,1,0,0,0,0,0,0,1,0,0,1,0,0,2,,
38,73,0,0,0,1,0,0,1,0,0,0,0,1,0,4,13.00743,44.57132
43,111,1,0,0,0,0,0,1,0,0,1,0,1,0,1,13.95616,115.1025
56,124,0,0,0,0,0,0,1,0,0,1,0,1,0,1,14.92036,301.8763
44,73,0,1,0,0,0,0,0,0,1,0,0,0,0,2,,
42,111,0,0,0,0,0,0,1,0,0,0,0,1,0,3,13.18142,53.04193
46,20,0,0,0,0,0,0,1,0,0,0,0,1,0,5,12.85145,38.13413
25,81,0,0,0,0,0,0,1,0,0,1,0,0,0,4,10.76329,4.725372
54,111,1,0,1,0,0,0,1,0,0,0,0,1,0,5,14.11401,134.7833
42,81,0,1,0,0,0,0,1,0,0,0,0,0,0,5,13.51118,73.76183
39,111,0,0,0,0,0,0,0,0,1,0,0,1,0,0,,
21,73,0,0,0,0,0,0,1,0,0,0,1,0,0,5,,
24,111,0,0,1,0,0,0,1,0,0,0,1,0,0,1,,
42,73,0,1,0,0,0,0,1,0,0,0,0,1,0,5,13.62073,82.30187
44,123,0,0,0,0,0,0,1,0,0,0,0,0,0,1,14.41983,183.0004
60,111,1,0,0,1,0,0,0,1,0,0,0,1,0,1,13.78987,97.46838
33,111,0,0,0,0,0,0,1,0,0,1,0,1,0,1,13.09899,48.84504
53,111,0,0,0,0,0,0,1,0,0,1,0,1,0,3,13.35324,62.98507
51,60,0,0,0,0,0,0,0,0,1,0,0,1,0,4,,
24,81,1,0,0,1,0,0,0,1,0,0,1,0,0,3,,
39,81,1,0,0,0,0,0,1,0,0,1,0,1,0,2,13.26984,57.94527
47,111,1,0,0,0,0,0,1,0,0,1,0,1,0,3,13.24349,56.43867
45,73,0,0,0,0,0,0,1,0,0,1,0,1,0,4,13.48595,71.92393
51,111,0,0,0,0,0,0,0,1,0,0,0,1,0,1,14.16101,141.27
56,111,0,0,0,0,0,0,1,0,0,1,0,1,0,1,14.63338,226.5667
56,50,0,0,0,0,0,0,1,0,0,0,0,1,0,4,12.69221,32.52032
54,73,0,0,1,0,0,0,1,0,0,1,0,1,0,1,13.82004,100.4538
50,73,0,0,0,0,0,0,0,0,1,0,0,1,0,5,,
47,111,0,0,0,0,0,0,1,0,0,0,0,1,0,1,14.40184,179.7388
54,92,0,0,0,0,0,0,1,0,0,1,0,0,0,1,14.22484,150.5815
43,111,0,0,0,0,0,0,0,0,1,0,0,1,0,1,,
46,73,0,0,0,0,0,0,1,0,0,0,0,1,0,5,13.06164,47.05434
52,73,0,1,0,0,0,0,1,0,0,1,0,0,0,5,13.75472,94.10165
36,91,1,0,0,0,0,0,1,0,0,0,0,1,0,5,12.81719,36.84964
34,111,0,0,0,0,0,0,1,0,0,0,0,1,0,1,13.10874,49.32325
46,81,1,0,0,0,0,0,1,0,0,0,0,1,0,2,13.81506,99.95483
51,125,0,0,0,0,0,0,1,0,0,0,0,1,0,1,15.43421,504.6531
50,111,0,0,0,0,0,0,1,0,0,1,0,1,0,1,14.48819,195.9473
20,81,0,0,0,0,0,0,0,1,0,0,1,0,0,2,,
50,73,1,0,0,0,0,0,1,0,0,1,0,0,0,3,13.58775,79.63115
36,81,0,0,0,0,0,0,0,1,0,0,0,0,0,2,12.74855,34.40512
52,111,0,0,0,0,0,0,1,0,0,1,0,1,0,1,14.27503,158.3313
39,111,0,0,0,0,0,0,1,0,0,0,0,1,0,5,13.45454,69.7001
56,81,0,0,0,0,0,0,1,0,0,0,0,0,0,2,13.68049,87.36967
39,73,1,0,0,0,0,0,1,0,0,0,0,1,0,3,12.12805,18.49892
24,81,0,1,0,0,0,0,0,1,0,1,1,0,0,3,,
41,111,0,0,0,0,0,0,1,0,0,0,0,1,0,1,13.98203,118.1191
38,92,0,0,0,0,0,0,1,0,0,1,0,1,0,4,13.13911,50.84436
47,111,0,0,0,0,0,0,1,0,0,1,0,1,0,1,14.17384,143.0935
31,111,0,0,0,0,0,0,1,0,0,1,0,1,0,1,12.89281,39.74423
40,81,0,0,0,0,0,0,1,0,0,1,0,0,0,1,13.6834,87.62434
39,111,0,0,0,0,0,0,1,0,0,0,0,0,0,1,14.30218,162.6894
58,111,0,0,0,0,0,0,1,0,0,1,0,1,0,1,14.00016,120.2794
25,81,1,0,0,0,0,0,0,1,0,0,0,0,0,2,10.37866,3.216571
20,73,0,0,0,0,0,0,1,0,0,0,1,0,0,5,,
49,73,1,0,0,0,0,0,0,0,1,1,0,0,0,4,,
32,81,1,0,0,0,0,0,1,0,0,1,0,1,0,3,11.51123,9.983093
48,81,0,0,0,0,0,0,0,0,1,0,0,1,0,4,,
27,92,1,0,0,0,0,0,1,0,0,0,0,1,0,5,11.43244,9.226672
55,92,0,0,0,0,0,0,1,0,0,0,0,1,0,5,13.9596,115.499
39,73,0,0,0,0,0,0,0,0,1,0,0,0,0,5,,
37,111,0,0,0,0,0,0,1,0,0,1,0,1,0,1,13.66507,86.03326
25,92,0,0,0,0,0,0,1,0,0,0,0,0,0,3,10.04781,2.310519
45,73,0,0,0,0,0,0,0,1,0,0,0,1,0,4,13.28841,59.03136
38,81,0,0,0,0,0,0,1,0,0,1,0,1,0,2,13.0568,46.82698
45,73,0,0,0,0,0,0,1,0,0,0,0,1,0,4,13.56817,78.08781
44,73,0,0,0,0,0,0,1,0,0,0,0,1,0,4,13.42319,67.54857
52,124,0,0,0,0,0,0,1,0,0,1,0,1,0,1,14.59888,218.8828
47,123,0,0,0,0,0,0,1,0,0,0,0,1,0,1,14.63917,227.8832
51,123,0,0,0,0,0,0,1,0,0,0,0,1,0,1,14.62,223.5544
56,123,0,0,1,0,0,0,1,0,0,0,0,1,0,1,14.36932,173.9872
22,73,1,0,0,0,0,0,0,0,1,0,1,0,0,0,,
31,73,0,0,0,0,0,0,1,0,0,0,0,1,0,2,11.93879,15.30915
39,81,0,0,0,0,0,0,1,0,0,0,0,0,0,4,13.23077,55.72494
36,73,0,0,0,0,0,0,1,0,0,1,0,1,0,3,12.27751,21.48097
60,91,0,0,0,0,0,0,1,0,0,0,0,0,0,1,13.84155,102.6386
36,111,0,0,0,0,0,0,1,0,0,0,0,0,0,1,13.75481,94.11026
46,73,0,0,1,0,0,0,1,0,0,0,0,1,0,2,13.38925,65.29448
29,73,0,1,0,0,0,0,0,0,1,0,0,0,0,0,,
34,73,0,1,0,0,0,0,1,0,0,0,0,1,0,1,12.64707,31.08501
46,73,0,0,0,0,0,0,1,0,0,1,0,1,0,3,12.92953,41.23105
31,92,0,0,0,0,0,0,1,0,0,1,0,1,0,5,12.19032,19.68747
45,124,0,0,0,0,0,0,1,0,0,1,0,1,0,1,14.71049,244.7277
38,73,0,1,0,0,0,0,1,0,0,0,0,1,0,2,13.08007,47.92941
50,123,0,1,0,0,0,0,1,0,0,0,0,1,0,1,14.47504,193.3876
34,123,0,0,0,0,0,0,1,0,0,0,0,1,0,1,13.2637,57.59081
51,111,0,0,1,0,0,0,1,0,0,0,0,1,0,3,14.14148,138.537
45,91,1,0,0,0,0,0,1,0,0,0,0,0,0,4,13.68807,88.03452
26,111,0,0,0,0,0,0,1,0,0,1,0,0,0,1,11.74854,12.65687
25,111,0,0,0,0,0,0,1,0,0,1,0,0,0,1,11.44412,9.335077
51,123,0,0,1,0,0,0,1,0,0,0,0,1,0,1,14.74055,252.1965
33,73,0,0,0,0,0,0,1,0,0,0,0,1,0,5,12.29987,21.96677
42,10,0,0,0,0,0,0,0,1,0,0,0,1,0,4,13.11352,49.55967
21,81,0,0,0,0,0,0,0,0,1,0,1,0,0,3,,
44,111,0,0,1,0,0,0,1,0,0,0,0,1,0,1,13.43198,68.14487
34,125,0,0,1,0,0,0,1,0,0,0,0,1,0,1,13.60993,81.4173
27,81,1,0,0,0,0,0,1,0,0,0,0,0,0,5,11.08675,6.530018
43,111,0,0,0,0,0,0,1,0,0,1,0,1,0,1,14.14685,139.2836
32,30,1,0,0,0,1,0,0,0,1,0,0,0,0,4,,
55,30,0,0,0,0,0,0,1,0,0,0,0,1,0,5,13.41978,67.31886
52,81,0,0,0,0,0,0,1,0,0,1,0,1,0,3,13.87007,105.6079
40,111,1,0,0,0,0,0,1,0,0,1,0,1,0,3,13.76899,95.45491
30,73,0,1,0,0,0,0,1,0,0,0,0,1,0,4,11.43456,9.246272
36,92,1,0,0,0,0,0,1,0,0,0,0,1,0,1,13.18601,53.28571
59,81,0,0,0,0,0,0,1,0,0,0,0,1,0,1,13.85983,104.5313
48,73,0,0,0,0,0,0,1,0,0,0,0,0,0,4,13.78831,97.31698
26,111,0,0,0,0,0,0,0,1,0,0,0,0,0,3,11.5745,10.63508
52,111,0,0,0,0,0,0,1,0,0,0,0,1,0,1,14.30657,163.4053
34,81,0,0,0,0,0,0,1,0,0,0,0,0,0,1,12.80702,36.47692
20,81,0,0,1,0,0,0,0,1,0,0,1,0,0,1,,
24,111,0,0,0,0,0,0,1,0,0,0,1,0,0,1,,
24,111,0,0,0,0,0,0,1,0,0,1,1,0,0,1,,
52,81,0,0,0,1,0,0,1,0,0,0,0,1,0,4,13.86604,105.1832
60,91,0,0,0,0,0,0,1,0,0,1,0,1,0,1,13.51782,74.25307
49,111,0,0,0,0,0,0,1,0,0,0,0,1,0,1,14.33406,167.9589
43,73,0,0,0,0,0,0,0,0,1,0,0,1,0,1,,
50,73,0,0,0,0,0,0,1,0,0,0,0,1,0,4,13.80484,98.93863
36,81,0,0,0,0,0,0,1,0,0,0,0,1,0,1,12.51099,27.13018
49,111,0,0,0,0,0,0,0,0,1,0,0,1,0,1,,
42,111,0,0,0,0,0,0,1,0,0,0,0,1,0,4,13.77487,96.01714
46,30,0,0,0,0,0,0,1,0,0,0,0,1,0,5,13.00816,44.60394
29,73,0,0,0,0,0,0,1,0,0,0,0,1,0,5,11.52712,10.14293
35,123,0,0,1,0,0,0,1,0,0,0,0,1,0,1,13.3418,62.26903
28,92,0,1,0,0,0,0,1,0,0,0,0,0,0,1,11.58084,10.70277
33,92,0,0,0,0,0,0,1,0,0,1,0,1,0,4,11.65059,11.47591
20,81,1,0,0,0,0,0,0,1,0,0,1,0,0,1,,
33,111,0,0,0,0,0,0,1,0,0,0,0,1,0,1,12.75624,34.67076
55,81,0,0,0,0,0,1,0,0,1,0,0,1,0,5,,
58,73,1,0,0,0,0,0,1,0,0,0,0,1,0,1,13.64852,84.62048
52,125,0,0,0,0,0,0,1,0,0,1,0,1,0,1,14.96656,316.1501
49,73,0,0,0,0,0,1,1,0,0,0,0,1,0,3,13.36697,63.85613
21,111,0,0,0,0,0,0,0,1,0,0,1,0,0,1,,
26,81,0,0,0,0,0,0,1,0,0,0,0,0,0,4,11.3026,8.103173
40,124,0,0,0,0,0,0,0,0,1,0,0,1,0,1,,
45,73,0,0,0,0,0,0,1,0,0,0,0,0,0,4,13.72596,91.43384
41,92,1,0,0,0,0,0,0,1,0,0,0,1,0,1,13.50771,73.50594
50,111,0,0,0,0,0,0,1,0,0,0,0,1,0,1,14.40399,180.1242
38,123,0,0,1,0,0,0,1,0,0,0,0,1,0,1,13.85576,104.1072
41,20,0,0,0,0,0,0,0,1,0,0,0,1,0,1,13.19504,53.76912
22,92,0,1,0,0,0,0,1,0,0,0,1,0,0,3,,
29,111,0,0,0,0,0,0,1,0,0,0,0,1,0,1,12.38617,23.94666
32,73,0,0,0,0,0,0,1,0,0,1,0,0,0,5,12.10762,18.12474
34,81,0,0,0,0,0,0,1,0,0,1,0,1,0,1,13.15268,51.53901
52,123,0,0,0,0,0,0,1,0,0,1,0,1,0,1,13.86822,105.4123
26,81,0,0,0,0,0,0,1,0,0,0,0,1,0,2,10.97987,5.868063
27,73,0,0,0,0,0,0,1,0,0,0,0,1,0,1,11.21404,7.416463
49,73,0,0,0,0,0,0,1,0,0,1,0,0,0,5,13.7905,97.5304
29,123,0,0,0,0,0,0,1,0,0,0,0,1,0,1,12.59078,29.38367
60,81,1,0,0,0,0,0,0,0,1,0,0,0,0,3,,
58,81,0,0,0,0,0,0,1,0,0,0,0,0,0,1,13.86467,105.0392
53,73,1,0,0,0,0,0,1,0,0,0,0,1,0,3,12.82252,37.04669
38,123,0,0,0,0,0,0,1,0,0,0,0,1,0,1,13.95196,114.6194
36,111,0,0,0,0,0,0,1,0,0,0,0,1,0,4,13.07903,47.8797
45,73,1,0,0,0,0,0,0,0,1,1,0,1,0,5,,
46,91,0,0,0,0,0,0,1,0,0,1,0,1,0,3,13.30589,60.07218
41,123,0,0,0,0,0,0,0,0,1,0,0,0,0,1,,
52,111,0,0,0,0,0,0,1,0,0,1,0,1,0,1,14.09755,132.5832
32,73,0,0,0,0,0,0,0,1,0,0,0,0,0,5,12.16832,19.25905
33,81,0,0,0,0,0,0,1,0,0,1,0,1,0,2,12.37399,23.65678
35,111,0,1,0,0,0,0,1,0,0,0,0,1,0,1,13.20663,54.39604
22,81,0,0,0,0,0,0,0,1,0,0,1,0,0,2,,
38,111,0,0,0,0,0,0,1,0,0,1,0,1,0,3,12.83839,37.63949
37,73,0,0,0,0,0,0,1,0,0,0,0,1,0,5,13.10935,49.35356
46,73,0,0,0,0,0,0,1,0,0,0,0,0,0,4,12.85701,38.34674
50,73,0,0,0,0,0,0,1,0,0,0,0,1,0,5,13.7468,93.3599
35,40,0,0,0,0,0,0,1,0,0,0,0,1,0,2,12.34277,22.92966
57,73,0,0,0,0,0,0,1,0,0,0,0,1,0,3,13.42651,67.7737
46,73,0,0,0,0,0,1,0,1,0,0,0,0,0,2,13.64478,84.30505
22,40,0,0,0,0,0,0,1,0,0,0,1,0,0,2,,
60,111,0,0,0,0,0,0,1,0,0,0,0,1,0,3,12.82087,36.98558
28,91,0,0,0,0,0,0,0,1,0,0,0,0,0,4,11.18189,7.18178
45,111,0,0,0,0,0,0,1,0,0,1,0,1,0,1,14.03752,124.8584
41,73,0,0,0,0,0,0,1,0,0,1,0,1,0,1,13.63482,83.46976
23,40,1,0,0,0,0,0,0,0,1,0,1,0,0,2,,
23,81,0,0,0,0,0,0,1,0,0,0,1,0,0,2,,
46,73,0,0,0,0,0,0,1,0,0,0,0,0,0,4,13.60067,80.66661
58,91,0,0,0,0,0,0,1,0,0,0,0,1,0,2,13.60732,81.20552
30,81,1,0,0,0,0,0,1,0,0,0,0,0,0,5,11.48175,9.693069
39,73,1,0,0,0,0,0,1,0,0,0,0,1,0,3,12.0654,17.37547
38,111,0,0,0,0,0,0,1,0,0,0,0,1,0,1,13.97386,117.157
39,92,0,0,1,0,0,0,1,0,0,0,0,1,0,1,13.54056,75.96059
43,92,0,0,1,0,0,0,1,0,0,0,0,1,0,1,13.77579,96.10564
51,91,0,0,0,0,0,1,1,0,0,0,0,1,0,3,13.09866,48.82898
29,81,0,0,0,0,0,0,1,0,0,0,0,0,0,2,11.48066,9.682481
41,81,1,0,0,0,0,0,1,0,0,0,0,1,0,3,12.77305,35.25855
52,81,0,1,0,0,0,0,1,0,0,0,0,0,0,2,13.79124,97.60223
48,81,0,0,0,0,0,0,1,0,0,0,0,0,0,5,13.92595,111.6774
22,92,0,0,0,0,0,0,0,1,0,0,1,0,0,3,,
37,81,0,0,0,0,0,0,1,0,0,0,0,0,0,3,12.26208,21.15201
47,111,0,0,0,0,0,0,1,0,0,0,0,1,0,1,14.6796,237.2849
51,81,0,0,0,0,1,0,0,0,1,1,0,1,0,1,,
25,73,0,1,0,0,0,0,1,0,0,0,0,1,0,1,10.03297,2.276481
55,73,0,1,0,0,0,0,0,1,0,1,0,1,0,1,13.8662,105.1993
40,91,0,0,0,0,0,0,1,0,0,1,0,1,0,1,13.86272,104.8345
49,60,0,0,0,0,0,0,1,0,0,0,0,1,0,5,13.6016,80.74196
37,60,0,0,0,0,0,0,1,0,0,0,0,0,0,2,12.9926,43.91535
51,124,0,0,0,0,0,0,1,0,0,1,0,1,0,1,14.60392,219.9899
43,73,0,0,0,0,0,0,0,0,1,0,0,0,0,2,,
34,73,1,0,0,0,0,0,1,0,0,0,0,0,0,3,11.52876,10.15957
48,111,1,0,0,0,0,0,1,0,0,1,0,1,0,1,14.16747,142.1847
24,73,0,0,0,1,0,0,1,0,0,1,1,1,0,5,,
31,73,0,0,0,0,0,0,1,0,0,0,0,1,0,1,12.45776,25.72382
46,10,0,0,0,0,0,0,0,1,0,0,0,1,0,4,13.50696,73.45122
58,73,0,0,0,0,0,0,1,0,0,0,0,1,0,4,13.24885,56.74187
47,81,0,0,0,0,0,0,1,0,0,1,0,1,0,1,14.27601,158.4865
50,111,0,0,0,0,0,0,1,0,0,1,0,1,0,3,13.59411,80.13976
36,81,0,0,0,0,0,0,1,0,0,0,0,1,0,2,12.10502,18.07765
48,73,0,0,0,0,1,0,1,0,0,0,0,1,0,2,13.79965,98.4261
39,111,0,0,0,0,0,0,1,0,0,0,0,1,0,4,13.69311,88.47943
33,123,0,0,0,1,0,0,1,0,0,0,0,1,0,1,13.06619,47.26893
54,123,0,0,0,0,0,0,1,0,0,0,0,1,0,1,14.74332,252.8955
45,73,0,0,0,0,0,0,1,0,0,0,0,1,0,4,13.72028,90.91621
27,81,0,0,0,0,0,0,1,0,0,0,0,0,0,3,11.65465,11.52256
36,111,0,0,0,0,0,0,1,0,0,1,0,1,0,3,13.03457,45.79741
57,81,0,0,0,0,0,0,1,0,0,1,0,1,0,3,12.97707,43.23822
24,73,0,0,0,0,0,0,0,0,1,0,1,0,0,5,,
55,111,0,0,0,0,0,0,1,0,0,0,0,1,0,1,14.51202,200.6744
59,81,0,0,0,0,0,0,1,0,0,1,0,1,0,1,13.76445,95.02167
45,91,0,0,0,0,0,0,1,0,0,0,0,1,0,4,14.02355,123.1266
35,111,0,0,0,0,0,0,0,1,0,0,0,0,0,1,13.46478,70.41747
38,81,1,0,0,0,0,0,1,0,0,0,0,1,0,4,13.05358,46.67659
34,111,1,0,0,0,0,0,1,0,0,1,0,0,0,4,12.77686,35.39304
36,111,0,0,0,0,0,0,1,0,0,0,0,0,0,1,13.83504,101.9718
47,81,0,0,0,0,0,0,1,0,0,1,0,0,0,3,13.24636,56.60048
38,91,0,0,0,0,0,0,1,0,0,0,0,0,0,2,12.82651,37.1947
51,91,0,0,0,0,0,0,1,0,0,1,0,1,0,5,14.06006,127.705
59,111,1,0,0,0,0,0,1,0,0,1,0,1,0,1,13.79546,98.0147
43,123,0,0,0,0,0,0,1,0,0,1,0,1,0,1,14.52563,203.424
29,73,0,0,1,0,0,0,0,1,0,0,0,1,0,2,11.14865,6.946999
51,125,1,0,0,0,0,0,1,0,0,1,0,1,0,1,14.90295,296.6672
50,92,0,0,0,0,0,0,1,0,0,0,0,1,0,2,13.94661,114.0082
47,73,0,1,0,0,0,0,0,1,0,0,0,0,0,4,13.31733,60.76372
46,111,0,0,0,0,0,0,1,0,0,0,0,1,0,3,14.075,129.627
36,111,0,0,0,0,0,0,1,0,0,1,0,0,0,1,13.54965,76.65454
49,125,0,0,0,0,0,0,1,0,0,1,0,1,0,1,14.95086,311.2258
55,73,1,1,0,0,0,0,1,0,0,0,0,0,0,3,12.55258,28.28226
30,73,1,0,0,0,0,0,1,0,0,0,0,0,0,3,11.63127,11.25628
53,81,1,0,0,0,0,0,1,0,0,1,0,1,0,1,14.01232,121.7517
60,81,0,1,0,0,0,0,1,0,0,0,0,1,0,5,13.38362,64.92775
22,60,0,1,0,0,0,0,0,0,1,0,1,0,0,2,,
43,111,0,0,0,0,0,0,1,0,0,0,0,1,0,5,13.89293,108.0496
60,123,0,0,0,0,0,0,1,0,0,1,0,1,0,3,14.08586,131.0416
23,124,0,0,1,0,0,0,1,0,0,0,1,0,0,1,,
38,111,0,0,0,0,0,0,1,0,0,1,0,1,0,5,13.48508,71.86127
